iter	Passed	Remaining
154	14704	80161
155	14825	80211
156	14944	80243
157	15054	80228
158	15184	80313
159	15294	80293
160	15413	80321
161	15523	80302
162	15783	81048
163	15863	80863
164	15947	80704
165	16045	80616
166	16134	80478
167	16230	80377
168	16320	80251
169	16432	80228
170	16522	80100
171	16612	79971
172	16710	79880
173	16807	79788
174	16904	79694
175	17001	79597
176	17110	79558
177	17286	79830
178	17369	79668
179	17480	79632
180	17571	79510
181	17667	79407
182	17761	79294
183	17871	79255
184	17969	79161
185	18067	79068
186	18165	78977
187	18260	78869
188	18350	78742
189	18434	78588
190	18524	78464
191	18628	78394
192	18715	78254
193	18810	78151
194	18896	78008
195	18993	77911
196	19082	77782
197	19176	77672
198	19265	77547
199	19372	77491
200	19459	77352
201	19550	77234
202	19648	77141
203	19747	77053
204	19840	76941
205	19931	76822
206	20032	76742
207	20130	76649
208	20221	76530
209	20313	76419
210	20406	76308
211	20495	76182
212	20594	76093
213	20691	75995
214	20799	75941
215	20892	75831
216	20993	75749
217	21086	75641
218	21178	75527
219	21268	75405
220	21364	75307
221	21475	75259
222	21572	75165
223	21672	75080
224	21768	74978
225	21860	74866
226	21947	74737
227	22035	74611
228	22129	74504
229	22239	74454
230	22335	74353
231	22430	74253
232	22522	74140
233	22618	74040
234	22715	73945
235	22804	73824
236	22901	73727
237	22998	73634
238	23088	73515
239	23185	73419
240	23269	73284
241	23370	73202
242	23467	73106
243	23552	72972
244	23658	72907
245	23752	72802
246	23852	72715
247	23947	72613
248	24034	72490
249	24130	72392
250	24218	72268
251	24351	72280
252	24453	72201
253	24565	72148
254	24673	72085
255	24987	72619
256	25112	72602
257	25228	72554
258	25317	72432
259	25423	72360
260	25518	72254
261	25595	72098
262	25673	71944
263	25758	71811
264	25839	71666
265	25942	71584
266	26025	71449
267	26108	71310
268	26200	71198
269	26285	71067
270	26380	70964
271	26484	70886
272	26573	70764
273	26668	70662
274	26750	70523
275	26842	70413
276	26934	70300
277	27026	70190
278	27120	70086
279	27213	69978
280	27315	69893
281	27474	69953
282	27579	69875
283	27667	69754
284	27760	69645
285	27850	69529
286	27948	69432
287	28058	69367
288	28164	69290
289	28249	69163
290	28340	69049
291	28419	68908
292	28509	68791
293	28586	68645
294	28669	68515
295	28756	68394
296	29021	68694
297	29120	68599
298	29227	68523
299	29341	68464
300	29464	68424
301	29614	68446
302	29733	68396
303	29823	68280
304	29940	68224
305	30023	68092
306	30139	68035
307	30249	67963
308	30337	67841
309	30451	67778
310	30559	67702
311	30654	67597
312	30769	67536
313	30870	67443
314	30953	67311
315	31050	67209
316	31203	67230
317	31316	67162
318	31423	67082
319	31508	66954
320	31593	66828
321	31680	66705
322	31778	66607
323	31885	66527
324	31978	66417
325	32061	66286
326	32157	66183
327	32236	66045
328	32330	65938
329	32413	65808
330	32500	65687
331	32626	65646
332	32716	65532
333	32813	65430
334	32902	65314
335	32992	65198
336	33081	65082
337	33169	64965
338	33259	64850
339	33363	64765
340	33452	64649
341	33533	64518
342	33625	64408
343	33712	64288
344	33811	64193
345	33897	64071
346	33974	63934
347	34070	63832
348	34167	63734
349	34261	63628
350	34342	63499
351	34426	63376
352	34516	63264
353	34609	63158
354	34701	63048
355	34801	62955
356	34899	62857
357	34990	62747
358	35077	62631
359	35165	62516
360	35255	62404
361	35344	62292
362	35431	62175
363	35533	62086
364	35618	61965
365	35712	61862
366	35796	61740
367	35894	61645
368	35979	61526
369	36061	61401
370	36146	61283
371	36254	61203
372	36363	61126
373	36479	61059
374	36562	60936
375	36644	60814
376	36721	60683
377	36800	60555
378	36884	60435
379	37000	60369
380	37087	60254
381	37164	60124
382	37260	60025
383	37350	59916
384	37449	59822
385	37534	59705
386	37625	59598
387	37724	59504
388	37805	59380
389	37891	59266
390	37992	59174
391	38081	59065
392	38172	58957
393	38260	58847
394	38347	58734
395	38451	58648
396	38540	58538
397	38630	58431
398	38716	58317
399	38800	58200
400	38890	58093
401	38985	57993
402	39081	57895
403	39189	57814
404	39277	57704
405	39376	57609
406	39613	57717
407	39694	57595
408	39777	57478
409	39863	57364
410	39964	57272
411	40048	57156
412	40157	57076
413	40279	57014
414	40378	56919
415	40466	56808
416	40563	56710
417	40689	56653
418	40819	56601
419	40918	56506
420	41018	56413
421	41179	56401
422	41325	56370
423	41433	56286
424	41560	56228
425	41707	56197
426	41813	56109
427	41930	56037
428	42035	55949
429	42164	55891
430	42302	55846
431	42440	55801
432	42537	55701
433	42617	55579
434	42696	55455
435	42799	55363
436	42903	55273
437	43021	55201
438	43110	55091
439	43197	54979
440	43311	54900
441	43415	54808
442	43531	54733
443	43623	54628
444	43715	54522
445	43810	54418
446	43909	54322
447	44008	54225
448	44094	54111
449	44182	54000
450	44283	53906
451	44405	53837
452	44515	53752
453	44611	53652
454	44716	53561
455	44810	53458
456	44900	53350
457	45010	53265
458	45111	53171
459	45203	53064
460	45289	52952
461	45379	52844
462	45490	52761
463	45582	52655
464	45694	52572
465	45838	52526
466	45942	52435
467	46057	52355
468	46184	52289
469	46281	52189
470	46369	52079
471	46475	51989
472	46593	51913
473	46706	51830
474	46816	51744
475	46908	51639
476	47021	51555
477	47108	51444
478	47219	51359
479	47307	51249
480	47398	51143
481	47485	51032
482	47580	50930
483	47776	50935
484	47866	50827
485	47972	50736
486	48070	50637
487	48165	50534
488	48247	50417
489	48332	50305
490	48427	50203
491	48521	50098
492	48616	49997
493	48730	49914
494	48820	49807
495	48908	49697
496	49004	49596
497	49138	49533
498	49231	49429
499	49329	49329
500	49435	49238
501	49521	49127
502	49628	49036
503	49757	48967
504	49848	48861
505	49942	48758
506	50026	48645
507	50137	48558
508	50236	48460
509	50321	48348
510	50415	48245
511	50506	48138
512	50598	48033
513	50695	47933
514	50804	47845
515	50913	47756
516	51006	47652
517	51098	47547
518	51188	47440
519	51300	47354
520	51407	47263
521	51501	47160
522	51607	47068
523	51694	46959
524	51772	46841
525	51878	46749
526	51970	46644
527	52063	46541
528	52154	46436
529	52250	46335
530	52376	46260
531	52486	46172
532	52573	46063
533	52660	45954
534	52760	45857
535	52855	45755
536	52961	45663
537	53074	45576
538	53160	45467
539	53245	45357
540	53338	45253
541	53419	45140
542	53514	45039
543	53600	44930
544	53687	44821
545	53773	44712
546	53866	44609
547	53973	44518
548	54057	44407
549	54149	44304
550	54241	44200
551	54355	44114
552	54465	44025
553	54577	43937
554	54661	43827
555	54750	43721
556	54836	43612
557	54933	43513
558	55040	43422
559	55133	43319
560	55235	43223
561	55327	43119
562	55431	43026
563	55537	42933
564	55634	42833
565	55729	42732
566	55825	42631
567	55922	42532
568	56017	42431
569	56125	42340
570	56216	42236
571	56301	42127
572	56411	42037
573	56514	41942
574	56601	41835
575	56713	41747
576	56802	41642
577	56914	41553
578	57022	41462
579	57178	41404
580	57262	41295
581	57341	41183
582	57566	41175
583	57727	41120
584	57815	41014
585	57906	40910
586	58025	40825
587	58328	40869
588	58729	40980
589	58853	40898
590	58960	40803
591	59063	40706
592	59182	40619
593	59303	40534
594	59391	40425
595	59578	40385
596	59756	40338
597	59854	40236
598	59999	40166
599	60145	40097
600	60260	40006
601	60359	39905
602	60574	39880
603	60755	39833
604	60901	39761
605	61000	39660
606	61141	39585
607	61271	39503
608	61355	39392
609	61498	39318
610	61618	39229
611	61742	39143
612	61876	39063
613	61992	38972
614	62088	38868
615	62228	38791
616	62347	38702
617	62437	38593
618	62653	38564
619	62774	38474
620	62876	38374
621	63035	38307
622	63149	38213
623	63247	38110
624	63378	38026
625	63487	37930
626	63585	37826
627	63674	37717
628	63843	37656
629	63959	37563
630	64058	37460
631	64148	37352
632	64267	37260
633	64402	37178
634	64530	37092
635	64659	37006
636	64778	36914
637	64884	36815
638	65005	36724
639	65143	36642
640	65244	36541
641	65368	36451
642	65482	36356
643	65594	36260
644	65718	36170
645	65823	36070
646	65930	35971
647	66039	35873
648	66163	35783
649	66287	35693
650	66395	35594
651	66486	35486
652	66584	35382
653	66687	35281
654	66775	35171
655	66874	35068
656	67092	35026
657	67190	34922
658	67285	34816
659	67424	34733
660	67562	34650
661	67660	34545
662	67750	34437
663	67860	34339
664	67991	34251
665	68185	34194
666	68295	34096
667	68389	33990
668	68511	33897
669	68655	33815
670	68749	33708
671	68839	33600
672	68949	33501
673	69045	33395
674	69163	33301
675	69255	33193
676	69353	33088
677	69448	32982
678	69580	32894
679	69725	32811
680	69836	32713
681	69967	32624
682	70076	32524
683	70180	32422
684	70314	32334
685	70453	32248
686	70551	32143
687	70649	32038
688	70745	31932
689	70842	31827
690	70936	31721
691	71014	31607
692	71120	31506
693	71215	31400
694	71324	31300
695	71416	31193
696	71509	31086
697	71627	30990
698	71771	30905
699	71881	30806
700	71975	30699
701	72075	30596
702	72163	30487
703	72280	30390
704	72391	30291
705	72493	30188
706	72603	30088
707	72695	29981
708	72814	29885
709	72915	29782
710	73023	29681
711	73119	29576
712	73219	29472
713	73331	29373
714	73444	29275
715	73544	29171
716	73639	29065
717	73744	28963
718	73840	28858
719	73934	28752
720	74041	28651
721	74139	28546
722	74228	28438
723	74322	28332
724	74434	28233
725	74571	28144
726	74672	28040
727	74788	27942
728	74886	27838
729	74985	27734
730	75078	27627
731	75174	27522
732	75258	27413
733	75350	27306
734	75436	27198
735	75560	27103
736	75648	26995
737	75739	26888
738	75830	26781
739	75944	26683
740	76161	26620
741	76275	26521
742	76373	26417
743	76465	26310
744	76588	26214
745	76678	26107
746	76767	26000
747	76858	25893
748	76959	25789
749	77060	25686
750	77145	25578
751	77226	25468
752	77311	25359
753	77409	25255
754	77548	25164
755	77662	25065
756	77767	24963
757	77864	24859
758	77959	24753
759	78053	24648
760	78157	24546
761	78239	24436
762	78327	24329
763	78420	24224
764	78519	24120
765	78612	24014
766	78698	23907
767	78825	23811
768	78936	23711
769	79030	23606
770	79156	23510
771	79321	23426
772	79423	23323
773	79508	23215
774	79597	23108
775	79691	23003
776	79798	22902
777	79903	22800
778	80008	22698
779	80107	22594
780	80194	22487
781	80304	22386
782	80405	22283
783	80535	22188
784	80660	22091
785	80760	21988
786	80874	21888
787	80971	21784
788	81058	21677
789	81152	21572
790	81242	21466
791	81341	21362
792	81603	21301
793	81723	21202
794	81805	21094
795	81907	20991
796	82020	20890
797	82107	20784
798	82200	20678
799	82293	20573
800	82390	20469
801	82485	20364
802	82577	20258
803	82676	20154
804	82775	20051
805	82916	19957
806	83090	19871
807	83182	19766
808	83276	19661
809	83377	19557
810	83481	19454
811	83580	19351
812	83705	19253
813	83830	19155
814	83975	19061
815	84227	18992
816	84343	18892
817	84480	18796
818	84582	18692
819	84692	18590
820	84787	18485
821	84911	18387
822	85043	18290
823	85164	18190
824	85278	18089
825	85378	17985
826	85497	17885
827	85645	17791
828	85769	17691
829	85874	17588
830	85973	17484
831	86058	17377
832	86157	17272
833	86252	17167
834	86368	17066
835	86460	16961
836	86564	16857
837	86653	16751
838	86736	16644
839	86833	16539
840	86925	16434
841	87023	16329
842	87245	16248
843	87377	16150
844	87487	16047
845	87576	15941
846	87704	15842
847	87821	15741
848	87922	15637
849	88012	15531
850	88173	15438
851	88289	15336
852	88397	15233
853	88520	15133
854	88654	15034
855	88740	14928
856	88854	14826
857	88955	14722
858	89055	14617
859	89158	14514
860	89253	14409
861	89337	14302
862	89421	14195
863	89526	14092
864	89621	13987
865	89734	13884
866	89847	13782
867	89951	13679
868	90042	13573
869	90147	13470
870	90249	13366
871	90336	13260
872	90430	13155
873	90557	13055
874	90654	12950
875	90779	12850
876	90873	12745
877	90985	12642
878	91215	12556
879	91320	12452
880	91424	12349
881	91524	12244
882	91620	12140
883	91771	12042
884	91913	11943
885	92014	11839
886	92132	11737
887	92230	11632
888	92348	11530
889	92460	11427
890	92546	11321
891	92636	11216
892	92733	11111
893	92852	11009
894	92958	10905
895	93053	10800
896	93166	10697
897	93265	10593
898	93375	10490
899	93477	10386
900	93591	10283
901	93710	10181
902	93849	10081
903	94067	9989
904	94185	9886
905	94292	9783
906	94404	9679
907	94504	9575
908	94634	9473
909	94733	9369
910	94834	9264
911	94937	9160
912	95062	9058
913	95258	8963
914	95386	8861
915	95508	8758
916	95622	8655
917	95728	8550
918	95845	8447
919	95958	8344
920	96081	8241
921	96198	8138
922	96302	8033
923	96403	7929
924	96512	7825
925	96612	7720
926	96704	7615
927	96807	7510
928	96918	7407
929	97010	7301
930	97128	7198
931	97228	7093
932	97328	6989
933	97421	6884
934	97527	6779
935	97649	6676
936	97744	6571
937	97843	6467
938	97953	6363
939	98051	6258
940	98156	6154
941	98250	6049
942	98372	5946
943	98464	5841
944	98559	5736
945	98666	5632
946	98766	5527
947	98869	5423
948	98967	5318
949	99067	5214
950	99164	5109
951	99284	5005
952	99436	4904
953	99587	4801
954	99732	4699
955	99918	4598
956	100020	4494
957	100121	4389
958	100231	4285
959	100353	4181
960	100452	4076
961	100566	3972
962	100652	3867
963	100736	3761
964	100836	3657
965	100937	3552
966	101030	3447
967	101134	3343
968	101220	3238
969	101351	3134
970	101451	3029
971	101600	2926
972	101698	2822
973	101799	2717
974	101911	2613
975	102020	2508
976	102162	2405
977	102292	2301
978	102413	2196
979	102516	2092
980	102608	1987
981	102703	1882
982	102815	1778
983	103096	1676
984	103205	1571
985	103305	1466
986	103432	1362
987	103574	1257
988	103673	1153
989	103775	1048
990	103891	943
991	104010	838
992	104112	733
993	104216	629
994	104311	524
995	104406	419
996	104510	314
997	104625	209
998	104720	104
999	104814	0
