iter	TotalF1	MultiClass
120	0.8466976218	0.340586459
121	0.8473729926	0.3398076132
122	0.8473729926	0.3395135341
123	0.8471774415	0.3387503077
124	0.8467865631	0.3380722833
125	0.8471590524	0.3371014558
126	0.8475305479	0.3366424624
127	0.8489442217	0.3358641637
128	0.8487484681	0.3354818231
129	0.8495082911	0.3351317585
130	0.8490534912	0.3344657659
131	0.849900271	0.3336230195
132	0.8501821319	0.3325761594
133	0.8500963723	0.3321602692
134	0.8510526953	0.3318210091
135	0.8522057424	0.3312242071
136	0.8528232807	0.3305458996
137	0.8536943077	0.3301257383
138	0.8536943077	0.3294201314
139	0.8548139042	0.3288035706
140	0.8548139042	0.3286519736
141	0.854419469	0.3283725039
142	0.8536633156	0.3274612378
143	0.8540253338	0.3270074903
144	0.854107492	0.3268356779
145	0.8550594823	0.3257206459
146	0.8553381355	0.3250515582
147	0.856127954	0.3240319068
148	0.8571238643	0.3234778685
149	0.8581141444	0.3225387037
150	0.8575604639	0.3218460768
151	0.8581927987	0.3212720099
152	0.8592192446	0.3202145904
153	0.8600461037	0.3194879912
154	0.8600461037	0.3192170222
155	0.8605964124	0.3186700989
156	0.8610697692	0.3181419314
157	0.8604428078	0.31725187
158	0.8624141899	0.3159619839
159	0.8627641964	0.3155952497
160	0.8624141899	0.3151939477
161	0.8631622725	0.3143028018
162	0.8641838771	0.3137376568
163	0.8645318394	0.3132238661
164	0.8667687385	0.3125405274
165	0.865823836	0.3119937358
166	0.8663690341	0.3114492934
167	0.8686009074	0.3108454537
168	0.8694145871	0.3103003612
169	0.8682004293	0.3093361588
170	0.868342479	0.3085407769
171	0.868342479	0.3081160449
172	0.8693547853	0.3068102794
173	0.8710429956	0.3061978143
174	0.8707737331	0.3059512432
175	0.8720505383	0.3054907056
176	0.8723191553	0.3048229399
177	0.8721834741	0.3041550927
178	0.8725200776	0.30378109
179	0.8725200776	0.3032402472
180	0.8745310984	0.3025634065
181	0.8739286955	0.3021588501
182	0.8747986549	0.3016139136
183	0.8753332554	0.3007420748
184	0.8759322358	0.2999590203
185	0.8774648743	0.2990985176
186	0.8774648743	0.2983742279
187	0.8769971829	0.2980575825
188	0.8780594464	0.297328784
189	0.8781856039	0.2969747699
190	0.879569359	0.2964107466
191	0.8793054977	0.2961443818
192	0.8785129306	0.2958596135
193	0.8790414727	0.2953040796
194	0.8801143375	0.2949941532
195	0.8810278807	0.2937830929
196	0.8807035035	0.2934528575
197	0.8805011241	0.2931507597
198	0.8820409723	0.2927070704
199	0.8821015093	0.2921570003
200	0.8825675112	0.2914538988
201	0.8833561022	0.2908380708
202	0.8836186426	0.2900593021
203	0.8841432401	0.289742694
204	0.8846671956	0.2891597712
205	0.884725696	0.2884551697
206	0.8855675631	0.2880653478
207	0.8859742924	0.2875614976
208	0.8857131909	0.2871502342
209	0.8859166288	0.2865976201
210	0.8862352357	0.2862380155
211	0.886496021	0.285369518
212	0.8874811143	0.2849614936
213	0.8877413111	0.2838819112
214	0.8887248816	0.2832021205
215	0.8890399529	0.2827271492
216	0.8887805358	0.282007726
